App,Category,Size_in_MB,Type,Price,Content Rating,Genres,Last Updated,Android Ver
"All Football GO- Live Score, Games",SPORTS,10.0,Free,0.0,Everyone,Sports,2018-06-21,4.1 and up
Grim Soul: Dark Fantasy Survival,GAME,95.0,Free,0.0,Teen,Role Playing,2018-07-18,4.1 and up
Davis's Drug Guide,MEDICAL,6.4,Free,0.0,Everyone,Medical,2017-12-11,4.1 and up
HipChat - Chat Built for Teams,BUSINESS,20.0,Free,0.0,Everyone,Business,2018-07-03,4.1 and up
DIY Garden Ideas,LIFESTYLE,13.0,Free,0.0,Everyone,Lifestyle,2018-08-05,4.0 and up
CreditWise from Capital One,FINANCE,8.4,Free,0.0,Everyone,Finance,2018-07-19,4.4 and up
Airway Ex - Intubate. Anesthetize. Train.,MEDICAL,86.0,Free,0.0,Everyone,Medical,2018-06-01,5.0 and up
Chase Mobile,FINANCE,32.0,Free,0.0,Everyone,Finance,2018-07-23,5.0 and up
AMC Theatres,ENTERTAINMENT,72.0,Free,0.0,Everyone,Entertainment,2018-07-18,5.0 and up
"FastMeet: Chat, Dating, Love",DATING,5.9,Free,0.0,Mature 17+,Dating,2018-07-27,4.0.3 and up
Dinosaur Simulator: Dino World,GAME,66.0,Free,0.0,Teen,Action,2018-08-05,4.2 and up
Hero Hunters,GAME,99.0,Free,0.0,Teen,Action,2018-07-31,4.4 and up
Add Text To Photo,PHOTOGRAPHY,1.6,Free,0.0,Everyone,Photography,2017-09-08,2.3 and up
FINAL FANTASY BRAVE EXVIUS,GAME,83.0,Free,0.0,Teen,Role Playing,2018-07-17,4.0.3 and up
Crossy Road,GAME,60.0,Free,0.0,Everyone,Action,2018-08-01,5.0 and up
Calorie Counter - Macros,HEALTH_AND_FITNESS,5.5,Free,0.0,Everyone,Health & Fitness,2016-08-27,5.0 and up
Diabetes & Diet Tracker,MEDICAL,19.0,Paid,9.99,Everyone,Medical,2018-07-16,5.0 and up
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,3.6,Free,0.0,Everyone,Health & Fitness,2014-07-23,2.3 and up
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,76.0,Free,0.0,Teen,Food & Drink,2017-11-23,5.0 and up
Banjo,SOCIAL,9.3,Free,0.0,Everyone,Social,2015-07-25,2.3 and up
Hill Climb Racing,GAME,63.0,Free,0.0,Everyone,Racing,2018-07-02,4.2 and up
Home Decor Showpiece Art making: Medium Difficulty,HOUSE_AND_HOME,7.0,Free,0.0,Everyone,House & Home,2018-05-30,4.0.3 and up
HD Camera - Best Cam with filters & panorama,PHOTOGRAPHY,9.7,Free,0.0,Everyone,Photography,2018-07-26,4.2 and up
Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,10.0,Free,0.0,Everyone,Health & Fitness,2018-07-15,4.4 and up
