App,Category,Rating,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48.0,Free,0.0,Everyone,Business,2018-07-20,3.0
211:CK,GAME,5.0,8,38.0,Paid,0.99,Teen,Arcade,2018-04-11,4.1
Offroad Car Q,FAMILY,4.1,24668,40.0,Free,0.0,Everyone,Simulation,2016-08-04,2.3
Royale Tournaments,FAMILY,4.4,2420,6.7,Free,0.0,Teen,Entertainment,2018-07-28,4.1
iHunter BC,SPORTS,4.4,55,63.0,Paid,4.49,Everyone,Sports,2018-08-03,3.0
Super Dancer VN,GAME,4.0,24312,25.0,Free,0.0,Everyone,Music,2018-07-22,3.0
Download Manager Pro FREE,PRODUCTIVITY,3.8,637,7.2,Free,0.0,Everyone,Productivity,2017-10-31,4.1
FH Kufstein App,FAMILY,4.18,9,20.0,Free,0.0,Everyone,Education,2017-11-20,4.4
Konferencija.eu,BUSINESS,4.1,3,1.6,Free,0.0,Everyone,Business,2017-03-21,4.0
Fever,EVENTS,4.0,20611,12.0,Free,0.0,Teen,Events,2018-07-18,4.1
BLACKJACK!,GAME,4.4,524467,33.0,Free,0.0,Teen,Casino,2016-07-07,2.3
"Meitu – Beauty Cam, Easy Photo Editor",PHOTOGRAPHY,4.5,462702,45.0,Free,0.0,Everyone,Photography,2018-08-01,4.3
N Launcher - Nougat 7.0,PERSONALIZATION,4.4,32597,8.4,Free,0.0,Everyone,Personalization,2018-05-24,4.1
Driving Zone,GAME,4.2,51791,57.0,Free,0.0,Everyone,Racing,2018-06-06,4.1
SavingStar - Grocery Coupons,SHOPPING,4.2,31519,21.0,Free,0.0,Everyone,Shopping,2018-06-12,4.0
OptoDrum,MEDICAL,3.9,10,0.37,Paid,5.99,Everyone,Medical,2015-05-26,3.0
Trailer Addict Movie Trailers,ENTERTAINMENT,3.9,2646,9.1,Free,0.0,Teen,Entertainment,2018-02-14,4.2
"Mobizen Screen Recorder for LG - Record, Capture",VIDEO_PLAYERS,4.5,58820,37.0,Free,0.0,Everyone,Video Players & Editors,2018-04-26,4.4
Android P Home KLWP,PERSONALIZATION,4.33,0,2.1,Paid,1.49,Everyone,Personalization,2018-04-14,5.0
