App,Category,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
10 Best Foods for You,HEALTH_AND_FITNESS,3.8,Free,0.0,Everyone 10+,Health & Fitness,2017-02-17,2.3
11st,SHOPPING,20.0,Free,0.0,Everyone,Shopping,2018-07-31,4.0
1800 Contacts - Lens Store,MEDICAL,26.0,Free,0.0,Everyone,Medical,2018-07-27,5.0
1LINE – One Line with One Touch,GAME,10.0,Free,0.0,Everyone,Board,2018-08-03,4.1
21-Day Meditation Experience,HEALTH_AND_FITNESS,15.0,Free,0.0,Everyone,Health & Fitness,2018-08-02,4.1
"2Date Dating App, Love and matching",DATING,8.1,Free,0.0,Mature 17+,Dating,2018-07-26,3.0
2RedBeans,DATING,32.0,Free,0.0,Mature 17+,Dating,2018-07-31,4.3
2ndLine - Second Phone Number,COMMUNICATION,32.0,Free,0.0,Everyone,Communication,2018-08-03,4.0
365Scores - Live Scores,SPORTS,25.0,Free,0.0,Everyone,Sports,2018-07-29,4.1
3D Live Neon Weed Launcher,PERSONALIZATION,21.0,Free,0.0,Mature 17+,Personalization,2018-06-26,3.0
4K Wallpapers and Ultra HD Backgrounds,PERSONALIZATION,3.8,Free,0.0,Everyone 10+,Personalization,2018-07-04,3.0
7 Day Food Journal Challenge,LIFESTYLE,14.0,Free,0.0,Teen,Lifestyle,2017-03-08,3.0
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,4.3,Free,0.0,Everyone,Productivity,2015-12-19,4.1
8 Ball Pool,GAME,52.0,Free,0.0,Everyone,Sports,2018-07-31,3.0
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,67.0,Free,0.0,Everyone,Health & Fitness,2018-07-11,5.0
95Live -SG#1 Live Streaming App,DATING,15.0,Free,0.0,Teen,Dating,2018-08-01,4.2
A Call From Santa Claus!,FAMILY,11.0,Free,0.0,Everyone,Entertainment,2016-12-04,3.0
A Word A Day,FAMILY,2.9,Free,0.0,Everyone,Education,2017-01-05,4.0
A&E - Watch Full Episodes of TV Shows,FAMILY,19.0,Free,0.0,Teen,Entertainment,2018-07-16,4.4
A+ Mobile,FINANCE,6.3,Free,0.0,Everyone,Finance,2018-06-26,4.4
ABC News - US & World News,NEWS_AND_MAGAZINES,35.0,Free,0.0,Everyone 10+,News & Magazines,2018-06-06,5.0
ABC Preschool Free,EDUCATION,25.0,Free,0.0,Everyone,Education;Education,2017-10-25,2.3
ABCmouse.com,FAMILY,91.0,Free,0.0,Everyone,Education;Education,2018-07-03,4.4
