App,Category,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Metal Detector Pro 2015,TOOLS,0.34,Free,0.0,Everyone,Tools,2015-03-30,4.0
Alchemy Classic Ad Free,FAMILY,9.0,Free,0.0,Everyone,Puzzle,2014-05-26,1.6
NB|AZ Mobile Banking,FINANCE,13.0,Free,0.0,Everyone,Finance,2018-04-05,4.2
Dungeon Rush,FAMILY,81.0,Free,0.0,Everyone 10+,Role Playing,2016-12-23,2.3
Diario Financiero,FINANCE,24.0,Free,0.0,Everyone,Finance,2018-06-18,4.1
Bubble,TOOLS,0.2,Free,0.0,Everyone,Tools,2011-07-10,1.6
Helper for Clash Royale (All-in-1),FAMILY,37.0,Free,0.0,Everyone,Entertainment,2017-11-10,4.1
Thai Handwriting,EDUCATION,19.0,Free,0.0,Everyone,Education,2017-10-26,4.4
Digital Falak,TOOLS,15.0,Free,0.0,Everyone,Tools,2018-05-30,4.1
GastroHunter.EU,LIFESTYLE,1.5,Free,0.0,Everyone,Lifestyle,2015-04-23,4.3
Robocar X Ray,GAME,99.0,Free,0.0,Mature 17+,Action,2017-01-23,2.3
Pregnant Mom Surgery Newborn Twins Baby Birth Care,FAMILY,28.0,Free,0.0,Teen,Educational,2018-02-24,4.1
Music - Mp3 Player,VIDEO_PLAYERS,3.1,Free,0.0,Everyone,Video Players & Editors,2018-08-03,3.0
Snapfish,PHOTOGRAPHY,28.0,Free,0.0,Everyone,Photography,2018-08-01,4.4
FH School,FAMILY,5.8,Free,0.0,Everyone,Education,2018-04-11,3.0
American Girls Mobile Numbers,DATING,4.4,Free,0.0,Mature 17+,Dating,2018-07-17,3.0
Ethical Hacking,FAMILY,3.2,Free,0.0,Everyone,Education,2018-07-09,3.0
Gayvox - Gay Lesbian Bi Dating,SOCIAL,9.1,Free,0.0,Mature 17+,Social,2016-06-13,2.3
Black Classic DW Watch Theme,PERSONALIZATION,2.9,Free,0.0,Everyone,Personalization,2018-07-25,4.0
QR & Barcode Scanner BX PRO,TOOLS,3.0,Free,0.0,Everyone,Tools,2017-10-30,4.2
Your Freedom VPN Client,COMMUNICATION,5.3,Free,0.0,Everyone,Communication,2018-05-19,4.0
My Vodacom SA,COMMUNICATION,61.0,Free,0.0,Everyone,Communication,2018-06-26,4.3
