App,Category,Installs_category,Rating,Mean_App_Sentiment,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
"""i DT"" Fútbol. Todos Somos Técnicos.",SPORTS,Low,,,27,3.6,Free,0.0,Everyone,Sports,2017-10-07,4.1 and up
+Download 4 Instagram Twitter,SOCIAL,High,,,40467,22.0,Free,0.0,Everyone,Social,2018-08-02,4.1 and up
- Free Comics - Comic Apps,COMICS,Moderate,,,115,9.1,Free,0.0,Mature 17+,Comics,2018-07-13,5.0 and up
.R,TOOLS,Moderate,,,259,0.2,Free,0.0,Everyone,Tools,2014-09-16,1.5 and up
/u/app,COMMUNICATION,Moderate,,,573,53.0,Free,0.0,Mature 17+,Communication,2018-07-03,4.1 and up
058.ba,NEWS_AND_MAGAZINES,Low,,,27,14.0,Free,0.0,Everyone,News & Magazines,2018-07-06,4.2 and up
1. FC Köln App,SPORTS,More than moderate,,,2019,41.0,Free,0.0,Everyone,Sports,2018-07-20,4.4 and up
10 Best Foods for You,HEALTH_AND_FITNESS,High,2.2403107890462914,0.2403107890462916,2490,3.8,Free,0.0,Everyone 10+,Health & Fitness,2017-02-17,2.3.3 and up
10 Minutes a Day Times Tables,FAMILY,More than moderate,,,681,48.0,Free,0.0,Everyone,Education,2014-07-03,2.2 and up
10 WPM Amateur ham radio CW Morse code trainer,COMMUNICATION,Low,,,10,3.8,Paid,1.49,Everyone,Communication,2018-05-12,2.1 and up
"10,000 Quotes DB (Premium)",BOOKS_AND_REFERENCE,Low,,,70,3.5,Paid,0.99,Everyone,Books & Reference,2013-08-30,2.1 and up
100 Doors of Revenge,FAMILY,Very High,,,105766,48.0,Free,0.0,Teen,Puzzle,2018-05-24,4.4 and up
100+ C Programs,FAMILY,Moderate,,,20,1.6,Free,0.0,Everyone,Education,2017-01-03,4.0 and up
"100000+ Messages - DP, Status, Jokes & GIF 2018",LIFESTYLE,Moderate,,,121,3.8,Free,0.0,Mature 17+,Lifestyle,2017-12-29,4.0.3 and up
101 C Programming Problems,FAMILY,More than moderate,,,498,5.0,Free,0.0,Everyone,Education,2017-10-15,4.0.3 and up
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,High,,,74359,25.0,Free,0.0,Everyone,Business,2018-07-27,4.0 and up
11st,SHOPPING,Very High,2.043179651424964,0.14317965142496394,48732,20.0,Free,0.0,Everyone,Shopping,2018-07-31,4.0 and up
12 Step Meditations & Sober Prayers AA NA AL-ANON,LIFESTYLE,More than moderate,,,759,15.0,Free,0.0,Everyone 10+,Lifestyle,2018-01-22,4.1 and up
14thStreetVet,MEDICAL,Very low,,,0,29.0,Free,0.0,Everyone,Medical,2018-07-16,4.0.3 and up
17th Edition Cable Sizer,BOOKS_AND_REFERENCE,Low,,,47,1.4,Paid,3.08,Everyone,Books & Reference,2016-05-27,2.2 and up
1800 Contacts - Lens Store,MEDICAL,High,2.5636631290584417,0.21366312905844154,23160,26.0,Free,0.0,Everyone,Medical,2018-07-27,5.0 and up
1LINE – One Line with One Touch,GAME,Very High,2.4703501509455457,0.1703501509455457,214878,10.0,Free,0.0,Everyone,Board,2018-08-03,4.1 and up
1st Fed CI Mobile Banking,FINANCE,Low,,,0,31.0,Free,0.0,Everyone,Finance,2016-09-29,4.1 and up
2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,Low,,,6,3.5,Paid,1.49,Everyone,Communication,2018-03-05,1.6 and up
2-Player Co-op Zombie Shoot,GAME,Low,,,33,13.0,Free,0.0,Teen,Action,2018-07-01,2.3 and up
2000 AD Comics and Judge Dredd,COMICS,More than moderate,,,705,20.0,Free,0.0,Teen,Comics,2018-07-19,4.0.3 and up
2017 BN SM Sales Conference,BUSINESS,Low,,,2,10.0,Free,0.0,Teen,Business,2017-09-28,4.1 and up
2017 EMRA Antibiotic Guide,MEDICAL,Low,,,12,3.8,Paid,16.99,Everyone,Medical,2017-01-27,4.0.3 and up
2019 Tricks Es File Explores,TOOLS,Low,,,4,2.0,Free,0.0,Everyone,Tools,2016-03-16,2.2 and up
2048 BTS J Hope KPop Puzzle Game,FAMILY,Low,,,17,2.4,Free,0.0,Everyone,Puzzle,2017-09-26,2.3.3 and up
2048(AI),FAMILY,Low,,,20,3.5,Free,0.0,Everyone,Casual,2015-06-03,2.3 and up
20WPM Amateur ham radio Koch CW Morse code trainer,COMMUNICATION,Low,,,12,3.7,Paid,1.49,Everyone,Communication,2018-05-22,2.1 and up
21-Day Meditation Experience,HEALTH_AND_FITNESS,More than moderate,2.3876137015762016,0.18761370157620158,11506,15.0,Free,0.0,Everyone,Health & Fitness,2018-08-02,4.1 and up
211:CK,GAME,Very low,,,8,38.0,Paid,0.99,Teen,Arcade,2018-04-11,4.1 and up
211:CK Lite,GAME,Very low,,,3,39.0,Free,0.0,Mature 17+,Action,2017-09-22,4.1 and up
23rd QM BDE EO,BUSINESS,Very low,,,0,6.3,Free,0.0,Everyone,Business,2017-09-27,4.1 and up
