App,Category,Installs_category,Rating,Mean_App_Sentiment,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
mysms SMS Text Messaging Sync,COMMUNICATION,High,,,37320,8.4,Free,0.0,Everyone,Communication,2018-07-30,4.0.3 and up
The ClubHouse CR,HEALTH_AND_FITNESS,Low,,,5,8.7,Free,0.0,Everyone,Health & Fitness,2018-07-09,4.1 and up
BH Mail,COMMUNICATION,Low,,,7,6.0,Free,0.0,Everyone,Communication,2018-04-03,4.0.3 and up
EG India,LIFESTYLE,Low,,,3,4.0,Free,0.0,Everyone,Lifestyle,2018-07-29,4.0.3 and up
Samsung Video Library,VIDEO_PLAYERS,Top Notch,,,25922,6.1,Free,0.0,Everyone,Video Players & Editors,2018-05-09,7.0 and up
DX Simulation for Double Dx Henshin Belt 2018,FAMILY,Moderate,,,33,11.0,Free,0.0,Everyone,Simulation,2018-08-06,4.0.3 and up
Vonage Mobile® Call Video Text,COMMUNICATION,High,,,29208,23.0,Free,0.0,Everyone,Communication,2016-09-28,2.3.3 and up
Butterfly Pixel Art - coloring by number,FAMILY,More than moderate,,,769,13.0,Free,0.0,Everyone,Entertainment,2018-04-04,4.1 and up
AC Remote For LG,TOOLS,More than moderate,,,1298,3.4,Free,0.0,Everyone,Tools,2018-02-20,4.0 and up
"Pixel art pro-Sand box,paint by number,number draw",FAMILY,More than moderate,,,2442,13.0,Free,0.0,Everyone,Casual;Brain Games,2018-07-06,4.0.3 and up
WDAMAGE: Car Crash Engine,GAME,High,,,47386,96.0,Free,0.0,Everyone,Racing,2018-06-06,4.2 and up
Fantastic Chefs: Match 'n Cook,FAMILY,High,,,8600,91.0,Free,0.0,Everyone,Puzzle,2018-07-27,4.0.3 and up
Portable Wi-Fi hotspot Free,COMMUNICATION,More than moderate,,,1711,2.1,Free,0.0,Everyone,Communication,2018-01-11,2.3 and up
5 Nights at Cube Pizzeria City,GAME,More than moderate,,,2691,52.0,Free,0.0,Teen,Adventure,2017-02-22,4.2 and up
BW Ultra,PRODUCTIVITY,Very low,,,0,24.0,Free,0.0,Everyone,Productivity,2018-07-03,4.0 and up
Zombie Frontier,GAME,Very High,,,326689,20.0,Free,0.0,Teen,Action,2018-05-30,4.2 and up
F&M Bank - EZ Banking,FINANCE,Moderate,,,49,3.9,Free,0.0,Everyone,Finance,2017-02-24,4.1 and up
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,High,2.3423399408131553,0.1423399408131551,6011,4.3,Free,0.0,Everyone,Productivity,2015-12-19,4.1 and up
chicken song,LIBRARIES_AND_DEMO,More than moderate,,,434,16.0,Free,0.0,Everyone,Libraries & Demo,2018-06-06,2.3 and up
Touch DV,PHOTOGRAPHY,Low,,,1,11.0,Free,0.0,Everyone,Photography,2017-07-07,4.2 and up
Inf VPN - Global Proxy & Unlimited Free WIFI VPN,TOOLS,High,,,61445,7.8,Free,0.0,Everyone,Tools,2018-07-26,4.1 and up
OBJECTIVE,VIDEO_PLAYERS,High,,,19738,33.0,Free,0.0,Teen,Video Players & Editors,2018-08-07,4.0 and up
Cook Baked Lasagna,FAMILY,Very High,,,56259,23.0,Free,0.0,Everyone,Casual,2018-03-14,4.0 and up
ES-1,COMMUNICATION,Low,,,6,2.7,Free,0.0,Everyone,Communication,2016-07-05,1.6 and up
AE Video Poker,GAME,More than moderate,,,721,18.0,Free,0.0,Teen,Casino,2015-12-31,2.3 and up
SW Battlefront Companion,FAMILY,High,,,93870,79.0,Free,0.0,Everyone,Strategy,2016-02-03,4.0 and up
FO STELIA Méaulte,COMMUNICATION,Low,,,2,18.0,Free,0.0,Everyone,Communication,2017-12-19,4.1 and up
New 2018 Keyboard,PERSONALIZATION,Very High,,,298321,14.0,Free,0.0,Everyone,Personalization,2018-08-05,4.2 and up
SDV Cam,TOOLS,Moderate,,,67,65.0,Free,0.0,Everyone,Tools,2017-06-02,4.0.3 and up
MyPlate Calorie Tracker,HEALTH_AND_FITNESS,High,,,24094,18.0,Free,0.0,Everyone,Health & Fitness,2018-07-09,4.1 and up
Elmo Calls by Sesame Street,FAMILY,High,,,6903,25.0,Free,0.0,Everyone,Educational;Pretend Play,2018-01-31,2.3 and up
learn c in hindi,FAMILY,Moderate,,,109,2.7,Free,0.0,Everyone,Education,2017-06-24,4.0 and up
NCLEX Multi-topic Nursing Exam Review-Quiz & notes,MEDICAL,Very low,,,1,4.2,Free,0.0,Everyone,Medical,2018-07-24,4.0.3 and up
R Language Reference Guide,BOOKS_AND_REFERENCE,Moderate,,,54,2.8,Free,0.0,Everyone,Books & Reference,2017-12-24,4.0 and up
NATIVE ENTERTAINMENT MAGAZINE - ISSUE # 1,NEWS_AND_MAGAZINES,Very low,,,0,62.0,Free,0.0,Mature 17+,News & Magazines,2017-12-16,4.1 and up
CA Mobile Authenticator,BUSINESS,Low,,,9,6.9,Free,0.0,Everyone,Business,2016-12-15,4.2 and up
HD VideoDownlaoder For Fb : XXVideo Downloader,VIDEO_PLAYERS,Moderate,,,61,6.1,Free,0.0,Everyone,Video Players & Editors,2018-07-30,4.0.3 and up
CK Active,HEALTH_AND_FITNESS,Very low,,,0,9.7,Free,0.0,Everyone,Health & Fitness,2018-02-27,4.0 and up
CR-Red,PERSONALIZATION,Moderate,,,561,41.0,Free,0.0,Everyone,Personalization,2014-12-04,2.3.3 and up
Podcast Addict,NEWS_AND_MAGAZINES,Very High,,,413999,10.0,Free,0.0,Teen,News & Magazines,2018-08-03,4.1 and up
V for Vampire - Free,FAMILY,High,,,2772,35.0,Free,0.0,Teen,Puzzle,2014-09-20,2.1 and up
United Ag Cooperative,BUSINESS,Very low,,,0,4.2,Free,0.0,Everyone,Business,2018-04-27,4.4 and up
TAMAGO,FAMILY,Very High,,,42515,1.6,Free,0.0,Everyone,Casual,2018-05-23,2.3.3 and up
Mirk V Launcher Theme,PERSONALIZATION,Moderate,,,292,7.9,Free,0.0,Everyone,Personalization,2017-03-15,2.3 and up
NBA JAM by EA SPORTS™,FAMILY,High,,,56444,43.0,Paid,4.99,Everyone,Sports;Action & Adventure,2017-02-08,2.3 and up
Bk Bee Sales Manager,BUSINESS,Very low,,,0,2.1,Paid,0.99,Everyone,Business,2017-12-16,4.1 and up
Education First FCU Mobile,FINANCE,Moderate,,,204,29.0,Free,0.0,Everyone,Finance,2018-05-09,5.0 and up
"BuzzFeed: News, Tasty, Quizzes",NEWS_AND_MAGAZINES,Very High,2.304786329085625,0.15478632908562487,131028,13.0,Free,0.0,Teen,News & Magazines,2018-07-30,4.4 and up
Minwa HA ( C.B ),HOUSE_AND_HOME,Low,,,0,5.0,Free,0.0,Everyone,House & Home,2017-09-15,4.1 and up
EO SouthAsia,BUSINESS,Low,,,8,19.0,Free,0.0,Teen,Business,2018-04-25,4.1 and up
Eh Volevi!,FAMILY,More than moderate,,,1619,7.0,Free,0.0,Everyone,Entertainment,2017-10-07,4.0 and up
Woodman Deluxe,GAME,Moderate,,,82,4.4,Free,0.0,Everyone,Action,2015-07-06,2.3 and up
SPARK - Live random video chat & meet new people,SOCIAL,Very High,,,79658,17.0,Free,0.0,Mature 17+,Social,2018-08-06,4.3 and up
Monster Park AR - Jurassic Dinosaurs in Real World,FAMILY,Moderate,,,128,20.0,Free,0.0,Everyone,Entertainment,2018-03-08,7.0 and up
Deck Analyzer for CR,TOOLS,More than moderate,,,2630,18.0,Free,0.0,Everyone,Tools,2017-02-02,4.1 and up
Harley Quinn wallpapers HD,ART_AND_DESIGN,Moderate,,,192,6.0,Free,0.0,Everyone,Art & Design,2018-04-25,3.0 and up
WhatsFake Pro (Ad free),SOCIAL,Moderate,,,204,9.4,Paid,0.99,Everyone,Social,2017-09-25,4.1 and up
DRAGON QUEST II,FAMILY,Moderate,,,2576,44.0,Paid,4.99,Everyone,Role Playing,2018-03-09,4.0 and up
Betting Tips / Sports Tips by CG Tipster,SPORTS,Moderate,,,315,7.7,Free,0.0,Everyone,Sports,2018-07-18,4.4 and up
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,High,2.349401776695527,0.19940177669552672,64713,58.0,Free,0.0,Everyone,Travel & Local,2018-06-09,5.0 and up
BC Highways - Road Conditions,TRAVEL_AND_LOCAL,Moderate,,,382,12.0,Free,0.0,Everyone,Travel & Local,2018-02-01,5.0 and up
C3-C4-PİCASSO-ELYSEE RACİNG,GAME,Low,,,12,48.0,Free,0.0,Everyone,Arcade,2017-02-12,4.0 and up
MHD F-Series,AUTO_AND_VEHICLES,Low,,,73,23.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-05,3.2 and up
Manga Zero - Japanese cartoon and comic reader,COMICS,High,,,15194,15.0,Free,0.0,Teen,Comics,2018-07-19,4.2 and up
Hotels Combined - Cheap deals,TRAVEL_AND_LOCAL,Very High,2.1688555445326276,0.11885554453262787,17202,12.0,Free,0.0,Everyone,Travel & Local,2017-11-13,4.1 and up
Toys Defense: Horror Land,FAMILY,Moderate,,,168,24.0,Free,0.0,Everyone,Strategy,2017-03-01,4.0.3 and up
Z Champions,GAME,High,,,96028,59.0,Free,0.0,Teen,Arcade,2018-05-28,4.0 and up
TOSHIBA Smart AC,TOOLS,Moderate,,,60,18.0,Free,0.0,Everyone,Tools,2018-08-04,4.0.3 and up
Kpop Music Quiz (K-pop Game),FAMILY,More than moderate,,,6418,59.0,Free,0.0,Everyone,Casual,2017-05-08,4.1 and up
DV-4036 by Somikon,PHOTOGRAPHY,Low,,,17,44.0,Free,0.0,Everyone,Photography,2017-01-19,4.3 and up
Wallpapers FN FAL Light Automatic Rifle,PERSONALIZATION,Very low,,,0,14.0,Free,0.0,Teen,Personalization,2018-04-17,4.1 and up
DX Simulation for Kabuto Henshin Belt 2018,FAMILY,Moderate,,,14,7.2,Free,0.0,Everyone,Simulation,2018-08-06,4.0.3 and up
Blood Donor,MEDICAL,High,2.2344028642213165,0.1344028642213166,4476,20.0,Free,0.0,Everyone,Medical,2018-07-31,4.1 and up
Used Cars Mexico,AUTO_AND_VEHICLES,More than moderate,,,190,2.5,Free,0.0,Everyone,Auto & Vehicles,2016-10-14,2.3 and up
FD Fitness,HEALTH_AND_FITNESS,Low,,,3,21.0,Free,0.0,Everyone,Health & Fitness,2018-07-04,4.0.3 and up
Football Live Scores,SPORTS,Very High,2.477698709786945,0.2276987097869451,107724,6.5,Free,0.0,Everyone,Sports,2018-07-31,4.0 and up
BPme - Mobile Fuel Payment & BP Driver Rewards app,TRAVEL_AND_LOCAL,Moderate,,,69,31.0,Free,0.0,Everyone,Travel & Local,2018-06-11,5.0 and up
Draw.ly - Color by Number Pixel Art Coloring,FAMILY,High,,,18616,10.0,Free,0.0,Everyone,Casual;Education,2018-08-05,4.0.3 and up
Cinemark Theatres,ENTERTAINMENT,High,2.1516661626221,0.10166616262210013,21867,39.0,Free,0.0,Teen,Entertainment,2018-07-12,5.0 and up
Army of Heroes,FAMILY,High,,,85015,46.0,Free,0.0,Everyone 10+,Strategy,2018-08-01,4.0 and up
Navi Radiography Pro,MEDICAL,Low,,,11,100.0,Paid,15.99,Everyone,Medical,2018-01-14,4.0.3 and up
World Newspapers,NEWS_AND_MAGAZINES,High,,,185884,7.5,Free,0.0,Mature 17+,News & Magazines,2017-09-17,4.1 and up
Solitaire: Decked Out Ad Free,GAME,High,,,37302,35.0,Free,0.0,Everyone,Card,2017-05-08,4.1 and up
